Lambda,2019DOY239F013Cotton_p100100000.asd,2019DOY239F013Cotton_p100200000.asd,2019DOY239F013Cotton_p100300000.asd,2019DOY239F013Cotton_p100400000.asd,2019DOY239F013Cotton_p100500000.asd,2019DOY239F013Cotton_p100600000.asd,2019DOY239F013Cotton_p100700000.asd,2019DOY239F013Cotton_p100800000.asd,2019DOY239F013Cotton_p100900000.asd,2019DOY239F013Cotton_p101000000.asd,2019DOY239F013Cotton_p101100000.asd,2019DOY239F013Cotton_p101200000.asd,2019DOY239F013Cotton_p101300000.asd,2019DOY239F013Cotton_p101400000.asd,2019DOY239F013Cotton_p101500000.asd,2019DOY239F013Cotton_p101600000.asd,2019DOY239F013Cotton_p101700000.asd,2019DOY239F013Cotton_p101800000.asd,2019DOY239F013Cotton_p101900000.asd,2019DOY239F013Cotton_p102000000.asd,2019DOY239F013Cotton_p102100000.asd,2019DOY239F013Cotton_p102200000.asd,2019DOY239F013Cotton_p102300000.asd,2019DOY239F013Cotton_p102400000.asd,2019DOY239F013Cotton_p102500000.asd,2019DOY239F013Cotton_p102600000.asd,2019DOY239F013Cotton_p102700000.asd,2019DOY239F013Cotton_p102800000.asd,2019DOY239F013Cotton_p102900000.asd,2019DOY239F013Cotton_p103000000.asd,2019DOY239F013Cotton_p103100000.asd,2019DOY239F013Cotton_p103200000.asd,2019DOY239F013Cotton_p103300000.asd,2019DOY239F013Cotton_p103400000.asd,2019DOY239F013Cotton_p103500000.asd,2019DOY239F013Cotton_p103600000.asd,2019DOY239F013Cotton_p103700000.asd,2019DOY239F013Cotton_p103800000.asd,2019DOY239F013Cotton_p103900000.asd,2019DOY239F013Cotton_p104000000.asd,2019DOY239F013Cotton_p104100000.asd,2019DOY239F013Cotton_p104300000.asd,2019DOY239F013Cotton_p104400000.asd,2019DOY239F013Cotton_p104500000.asd,2019DOY239F013Cotton_p104600000.asd,2019DOY239F013Cotton_p104700000.asd,2019DOY239F013Cotton_p104800000.asd,2019DOY239F013Cotton_p200100000.asd,2019DOY239F013Cotton_p200300000.asd,2019DOY239F013Cotton_p200400000.asd,2019DOY239F013Cotton_p200500000.asd,2019DOY239F013Cotton_p200600000.asd,2019DOY239F013Cotton_p200700000.asd,2019DOY239F013Cotton_p200800000.asd,2019DOY239F013Cotton_p200900000.asd,2019DOY239F013Cotton_p201100000.asd,2019DOY239F013Cotton_p201200000.asd,2019DOY239F013Cotton_p201300000.asd,2019DOY239F013Cotton_p201400000.asd,2019DOY239F013Cotton_p201500000.asd,2019DOY239F013Cotton_p201600000.asd,2019DOY239F013Cotton_p201700000.asd,2019DOY239F013Cotton_p201800000.asd,2019DOY239F013Cotton_p201900000.asd,2019DOY239F013Cotton_p202000000.asd,2019DOY239F013Cotton_p202100000.asd,2019DOY239F013Cotton_p202200000.asd,2019DOY239F013Cotton_p202300000.asd,2019DOY239F013Cotton_p202400000.asd,2019DOY239F013Cotton_p202500000.asd,2019DOY239F013Cotton_p202600000.asd,2019DOY239F013Cotton_p202700000.asd,2019DOY239F013Cotton_p202800000.asd,2019DOY239F013Cotton_p202900000.asd,2019DOY239F013Cotton_p203000000.asd,2019DOY239F013Cotton_p203100000.asd,2019DOY239F013Cotton_p203200000.asd,2019DOY239F013Cotton_p203300000.asd,2019DOY239F013Cotton_p203400000.asd,2019DOY239F013Cotton_p203500000.asd,2019DOY239F013Cotton_p203600000.asd,2019DOY239F013Cotton_p203700000.asd,2019DOY239F013Cotton_p203800000.asd,2019DOY239F013Cotton_p203900000.asd,2019DOY239F013Cotton_p204000000.asd,2019DOY239F013Cotton_p204100000.asd,2019DOY239F013Cotton_p204200000.asd,2019DOY239F013Cotton_p204300000.asd,2019DOY239F013Cotton_p204400000.asd,2019DOY239F013Cotton_p204500000.asd,2019DOY239F013Cotton_p204600000.asd,2019DOY239F013Cotton_p204700000.asd,2019DOY239F013Cotton_p204800000.asd
350,0.051009351,0.044049305,0.037615696,0.052712458,0.043726748,0.03625215,0.037114196,0.037009744,0.033392657,0.032005768,0.032337728,0.021111587,0.03289229,0.027653556,0.016818644,0.035146535,0.017675996,0.01858756,0.020278523,0.031379162,0.023768208,0.030352038,0.016958021,0.026226116,0.028726024,0.023815378,0.034080818,0.040356914,0.035890489,0.03089576,0.035327089,0.032492166,0.035396309,0.036616275,0.038041593,0.037688238,0.032921751,0.037952387,0.048870173,0.042246462,0.042007207,0.047447884,0.051895078,0.046222954,0.04863561,0.041087546,0.050696798,0.050900931,0.048072213,0.043052438,0.044412931,0.046021888,0.05232847,0.039217252,0.034978578,0.039997026,0.041891065,0.044259603,0.037903132,0.037443804,0.03714585,0.032214475,0.033190545,0.033905325,0.027387409,0.031279903,0.022908767,0.032259553,0.024203341,0.025262017,0.022130015,0.030991139,0.028654629,0.020596589,0.0152594,0.019360238,0.021051396,0.020164267,0.024797512,0.017014146,0.015547668,0.023851876,0.025379515,0.020817411,0.025263714,0.029341532,0.013991751,0.0130908,0.014062614,0.028280426,0.013133443,0.023387466,0.026287196
351,0.045030307,0.045094161,0.03430383,0.047195825,0.038683002,0.036698637,0.028290147,0.032992779,0.028934176,0.029857809,0.031003816,0.023158658,0.026688208,0.023364492,0.018843344,0.033141184,0.01944971,0.017343316,0.023732439,0.026905247,0.019198089,0.03026239,0.018356696,0.019140682,0.029032971,0.015903211,0.032662927,0.033199714,0.028350334,0.027370881,0.031327333,0.027888974,0.033731205,0.033137859,0.034295061,0.037804406,0.031173016,0.035344285,0.044259114,0.036972442,0.039719877,0.040604515,0.042952218,0.042116609,0.048060269,0.037874868,0.051243496,0.047882727,0.045099511,0.035542292,0.041589842,0.03706315,0.046957402,0.038465519,0.034576643,0.031814805,0.041058039,0.037352936,0.03398348,0.039042344,0.028925545,0.033805915,0.031245527,0.02833087,0.027263526,0.026545564,0.019643335,0.023718571,0.021950598,0.023921107,0.021987593,0.028063355,0.018853447,0.017696934,0.013760615,0.013747966,0.019927819,0.021087261,0.025268957,0.012120959,0.010774549,0.019751225,0.022786122,0.018149834,0.027005583,0.023349776,0.011320028,0.006856702,0.009243716,0.018193904,0.01617898,0.014892529,0.02091947
352,0.043478577,0.048936121,0.044015837,0.042676843,0.040715465,0.037631171,0.035862074,0.042646057,0.031827897,0.038048415,0.033888232,0.029744788,0.031806202,0.028484333,0.023513,0.026828552,0.023487815,0.018296908,0.026796657,0.025329139,0.024298825,0.031721871,0.022657566,0.025178878,0.031461013,0.021345113,0.033525266,0.039358745,0.029433992,0.03386245,0.036393492,0.031221263,0.033797312,0.036719749,0.032349612,0.041051422,0.037999403,0.039001999,0.049598674,0.039830435,0.043399513,0.048224134,0.04892171,0.042998939,0.055987359,0.045423481,0.053825112,0.052212983,0.04781978,0.040917425,0.044455972,0.046498659,0.043542701,0.045833772,0.038850172,0.036803956,0.041737784,0.032262864,0.039933016,0.041522502,0.041665119,0.031166513,0.038553934,0.028193873,0.04028949,0.030513712,0.027559222,0.032070937,0.035507266,0.025081696,0.029493223,0.027730597,0.026993238,0.018458806,0.022761496,0.017509206,0.024970311,0.026665572,0.029900373,0.011733028,0.022379135,0.026926058,0.025076783,0.02750356,0.027804064,0.030299511,0.017851362,0.013230332,0.010602924,0.02588864,0.025099403,0.019141352,0.021060886
353,0.04577002,0.049406264,0.041631606,0.039635635,0.040033397,0.038573476,0.040001984,0.040118851,0.029510021,0.039779656,0.037276597,0.027800575,0.027371023,0.030189539,0.02530276,0.03288058,0.018007666,0.021777427,0.026134344,0.028634061,0.025386578,0.033000122,0.029782963,0.026917743,0.02932429,0.022779757,0.028880541,0.03489392,0.02787751,0.035607048,0.027684652,0.025213335,0.028559398,0.034438585,0.035192875,0.039837774,0.037112874,0.038153471,0.04251099,0.040269494,0.043061504,0.049605237,0.048761795,0.043148279,0.051993716,0.045722744,0.046618467,0.05249852,0.044660005,0.04071337,0.046526543,0.043443462,0.04222793,0.041706888,0.041602375,0.041217186,0.043456901,0.041046305,0.036253641,0.037380315,0.037242261,0.035114778,0.040384346,0.035996764,0.029834383,0.026629925,0.026252366,0.030346049,0.031941496,0.020030989,0.025158962,0.02939843,0.031297996,0.022271719,0.029074175,0.01737307,0.024459154,0.028151277,0.027266936,0.013579086,0.021445755,0.027031475,0.023715789,0.024215236,0.027198265,0.032038751,0.018921495,0.013439327,0.013729239,0.019628259,0.022941037,0.019900555,0.022748417
354,0.041599317,0.045091284,0.03954233,0.038260258,0.03873402,0.038665896,0.03648872,0.036075459,0.029497191,0.037395188,0.035428627,0.023637759,0.025089289,0.028951044,0.025524657,0.037058122,0.020013886,0.023920596,0.022697908,0.030464762,0.023560163,0.033018475,0.03042474,0.026074655,0.03059587,0.022550439,0.026718218,0.032081932,0.028487646,0.033384841,0.024876424,0.022457663,0.029671845,0.033336272,0.037168384,0.038036521,0.032776477,0.036318351,0.039286621,0.044573989,0.042319835,0.049317924,0.048187941,0.046061244,0.049209464,0.039508711,0.043236787,0.05217851,0.040984666,0.038279211,0.046654134,0.042166078,0.038390704,0.040029489,0.04224656,0.04203622,0.042786279,0.045490035,0.033098496,0.037365812,0.035473261,0.035099931,0.03662311,0.034743894,0.02386223,0.030803929,0.025527897,0.02896995,0.02742924,0.02176302,0.02306296,0.034149647,0.030531761,0.02554551,0.03246416,0.017619813,0.023271558,0.025531403,0.024650635,0.015449235,0.020459127,0.027641058,0.023965537,0.0213838,0.029902761,0.030509061,0.018932202,0.016409632,0.013316096,0.012464152,0.016831252,0.021058024,0.024256372
355,0.032515245,0.040105725,0.041767478,0.038354185,0.037815964,0.037802606,0.029762102,0.036515889,0.032609086,0.035845134,0.030369327,0.021826803,0.029649831,0.027720813,0.025421973,0.033761401,0.028395289,0.023381316,0.019321556,0.028761874,0.02251937,0.032116799,0.024732915,0.02537201,0.033602503,0.022773972,0.028314739,0.035121665,0.031298889,0.030226937,0.032951702,0.027170124,0.036287264,0.034739498,0.036921328,0.036943084,0.029953616,0.036452548,0.043469497,0.049558929,0.042066858,0.048996244,0.048519024,0.049372797,0.051708787,0.03308448,0.046639252,0.05150343,0.040866634,0.0364853,0.044932197,0.047367309,0.033736805,0.043474278,0.041857708,0.040133847,0.040378958,0.040500014,0.035319885,0.041159368,0.040577727,0.028726431,0.031660558,0.02550005,0.029213718,0.039566376,0.02784878,0.031367562,0.029275175,0.028888895,0.0272211,0.03739263,0.026439515,0.02578991,0.032302934,0.019988546,0.023226132,0.021182983,0.025904468,0.016327678,0.022811138,0.030307269,0.026638622,0.023829845,0.033174009,0.028727893,0.020679342,0.023429133,0.009714057,0.013623592,0.013516403,0.022428654,0.025041975
356,0.033470819,0.043091426,0.038674334,0.039576132,0.035818747,0.03674305,0.030937776,0.037424039,0.030287543,0.039724928,0.032255626,0.022246551,0.033707581,0.030030505,0.025166281,0.031056082,0.020537023,0.022245243,0.01982826,0.027411798,0.026234037,0.031959672,0.023580579,0.025938743,0.025690494,0.022813295,0.026313603,0.035188072,0.029727839,0.029241352,0.036105122,0.030803122,0.032627175,0.031738926,0.038720045,0.033741115,0.031221187,0.038800211,0.040447375,0.0410242,0.038717848,0.044281406,0.043317419,0.043977015,0.049391387,0.035399267,0.045021754,0.04588509,0.044181706,0.034840383,0.04225224,0.047430434,0.036922749,0.038545916,0.042339374,0.039156485,0.041369205,0.039636497,0.037626805,0.034809504,0.03302728,0.025122004,0.032169482,0.029979718,0.022505597,0.026659857,0.024351324,0.028895986,0.028602009,0.023298733,0.026580554,0.029891226,0.021352249,0.022828068,0.026483843,0.021446597,0.020730365,0.018638996,0.028337951,0.016740048,0.0173587,0.02725416,0.02623953,0.022607994,0.026745337,0.028132876,0.022674046,0.024639137,0.009370487,0.021675729,0.015381371,0.017632029,0.025770415
357,0.037166289,0.042432876,0.036197978,0.043708872,0.038257068,0.034821593,0.034442027,0.035430182,0.032413403,0.038196596,0.034322849,0.024894883,0.030325155,0.02969178,0.025967301,0.033277255,0.019469915,0.024881782,0.022141834,0.030326917,0.024600163,0.03107239,0.021426792,0.026422548,0.030222143,0.023962613,0.032747297,0.034304151,0.029332902,0.031144303,0.032433957,0.029644425,0.029085361,0.034551988,0.037646675,0.033880538,0.034903801,0.037266128,0.037768395,0.043402242,0.040557078,0.045500046,0.0431493,0.044002735,0.049665389,0.036890604,0.047110405,0.050068003,0.042889248,0.039081065,0.040806721,0.041719274,0.03786988,0.042355672,0.03861584,0.033427106,0.039406051,0.042435783,0.035091972,0.037820603,0.033877757,0.030860494,0.036386436,0.031928799,0.027627951,0.026922549,0.030479218,0.029295461,0.029361385,0.023616998,0.027992813,0.028736492,0.024069575,0.023677528,0.024685424,0.027736995,0.021119256,0.020706399,0.025110141,0.016826216,0.020419767,0.025971644,0.026183112,0.023771594,0.029850432,0.030038199,0.023286399,0.025442198,0.015601947,0.026948877,0.017113336,0.020824746,0.029168955
358,0.04164346,0.040893278,0.03688087,0.044816155,0.039950565,0.035853679,0.034580742,0.034179953,0.031598958,0.036607982,0.03526584,0.027430248,0.026086576,0.028148518,0.027193338,0.036374894,0.023817388,0.025959359,0.02468028,0.032367352,0.025127451,0.029439135,0.022768287,0.023879083,0.035349747,0.023631562,0.033425398,0.033881037,0.03215268,0.032593236,0.029878882,0.026281408,0.03023642,0.038651229,0.034921213,0.035943738,0.038000997,0.035871757,0.037855731,0.04661287,0.044011606,0.045649394,0.04501793,0.043289724,0.047331248,0.037724271,0.048738085,0.051688522,0.041943118,0.04026738,0.041582828,0.040170971,0.038231783,0.043860186,0.036003903,0.033133285,0.039246742,0.041761965,0.032999691,0.040624052,0.035916717,0.035131896,0.035678794,0.031795644,0.034396224,0.031890887,0.030619931,0.032169266,0.030815531,0.022306923,0.029806798,0.030957251,0.02755913,0.025902297,0.025061526,0.02970008,0.021937223,0.023206013,0.023054218,0.016756798,0.022168295,0.027115817,0.027051211,0.025395597,0.032570939,0.031097697,0.024824223,0.026361257,0.020225229,0.026256376,0.019217632,0.027659716,0.0311628
359,0.044136915,0.041119688,0.039239802,0.040874772,0.037895433,0.039500827,0.031745014,0.036041387,0.02614751,0.0375847,0.034825652,0.027142687,0.026537809,0.027530563,0.027292592,0.036887392,0.027033764,0.023619367,0.026040692,0.03018497,0.029643684,0.028717796,0.027814359,0.020341912,0.032861941,0.021963395,0.024306495,0.033488802,0.03644091,0.031628851,0.031712429,0.024977664,0.034546456,0.038777181,0.03374486,0.037135355,0.038241018,0.037191892,0.039990581,0.043151505,0.044752323,0.040948394,0.045162123,0.038609226,0.041457226,0.038725004,0.047143601,0.045456857,0.044090518,0.035637094,0.043578848,0.045114918,0.039815157,0.038154931,0.03734811,0.040392651,0.042999707,0.036972799,0.034174502,0.037226866,0.033561169,0.032510383,0.029764729,0.032101024,0.0335419,0.032092144,0.021297394,0.034511072,0.031959085,0.018176613,0.03044966,0.031177331,0.026277331,0.025961372,0.025291055,0.024886462,0.021499309,0.022674476,0.025373322,0.017051055,0.017926132,0.029131487,0.028000862,0.025563376,0.028375229,0.029539479,0.028030315,0.025750785,0.019427538,0.021803079,0.022075865,0.030363812,0.03005412
