exp,year,plot,span,treatment,rep,block,column,entry,Stand count
hirsutum_core,2019,1001,1,WW,1,1,1,TAM_94WE_37S,50
hirsutum_core,2019,1002,1,WW,1,2,1,VIR_7065_ALLEN_333,33
hirsutum_core,2019,1003,1,WW,1,3,1,AC_134_CB_4029,67
hirsutum_core,2019,1004,1,WW,1,4,1,TAM_86III_26,49
hirsutum_core,2019,1005,1,WW,1,4,2,LOCKETT_BXL,55
hirsutum_core,2019,1006,1,WW,1,3,2,RN96625_1,48
hirsutum_core,2019,1007,1,WW,1,2,2,VIR_7094_COKER_310,72
hirsutum_core,2019,1008,1,WW,1,1,2,PD_3,64
hirsutum_core,2019,1009,1,WW,1,1,3,CB_4012_KING_KARAJAZSY,67
hirsutum_core,2019,1010,1,WW,1,2,3,MEXICO_910,66
hirsutum_core,2019,1011,1,WW,1,3,3,DP_493,60
hirsutum_core,2019,1012,1,WW,1,4,3,VIR_7223,42
hirsutum_core,2019,1013,1,WW,1,4,4,TIPO_CHACO_UA_4_4,51
hirsutum_core,2019,1014,1,WW,1,3,4,VIR_7153_D_10,64
hirsutum_core,2019,1015,1,WW,1,2,4,FELISTANA_UA_7_18,27
hirsutum_core,2019,1016,1,WW,1,1,4,ROGERS_LG_10,15
hirsutum_core,2019,1017,1,WW,1,1,5,PLAINS,30
hirsutum_core,2019,1018,1,WW,1,2,5,DP_393,52
hirsutum_core,2019,1019,1,WW,1,3,5,COKER_310,56
hirsutum_core,2019,1020,1,WW,1,4,5,FM_958,54
hirsutum_core,2019,1021,1,WW,1,4,6,VIR_6615_MCU_5,28
hirsutum_core,2019,1022,1,WW,1,3,6,TAM_91C_34,52
hirsutum_core,2019,1023,1,WW,1,2,6,WESTERN_STORMPROOF,39
hirsutum_core,2019,1024,1,WW,1,1,6,FUNTUA_FT_5,33
hirsutum_core,2019,1025,1,WW,2,1,7,VIR_6615_MCU_5,26
hirsutum_core,2019,1026,1,WW,2,2,7,AC_134_CB_4029,71
hirsutum_core,2019,1027,1,WW,2,3,7,FELISTANA_UA_7_18,23
hirsutum_core,2019,1028,1,WW,2,4,7,LOCKETT_BXL,58
hirsutum_core,2019,1029,1,WW,2,4,8,VIR_7094_COKER_310,71
hirsutum_core,2019,1030,1,WW,2,3,8,VIR_7065_ALLEN_333,64
